TeamID,team
1102,Air Force
1103,Akron
1104,Alabama
1105,Alabama A&M
1106,Alabama St.
1108,Alcorn St.
1111,Appalachian St.
1112,Arizona
1113,Arizona St.
1116,Arkansas
1117,Arkansas St.
1119,Army
1120,Auburn
1122,Austin Peay
1123,Ball St.
1124,Baylor
1125,Belmont
1127,Binghamton
1129,Boise St.
1130,Boston College
1132,Bowling Green
1133,Bradley
1135,Brown
1136,Bryant
1137,Bucknell
1138,Buffalo
1139,Butler
1140,BYU
1142,Cal Poly
1143,California
1144,Campbell
1145,Canisius
1150,Charlotte
1151,Chattanooga
1152,Chicago St.
1153,Cincinnati
1155,Clemson
1156,Cleveland St.
1159,Colgate
1160,Colorado
1161,Colorado St.
1162,Columbia
1163,Connecticut
1164,Coppin St.
1165,Cornell
1166,Creighton
1171,Dartmouth
1172,Davidson
1173,Dayton
1174,Delaware
1175,Delaware St.
1176,Denver
1177,DePaul
1179,Drake
1180,Drexel
1181,Duke
1182,Duquesne
1187,East Carolina
1189,Elon
1191,Evansville
1193,Fairfield
1196,Florida
1197,Florida A&M
1199,Florida St.
1200,Fordham
1201,Fresno St.
1202,Furman
1205,Gardner Webb
1206,George Mason
1207,Georgetown
1208,Georgia
1209,Georgia St.
1210,Georgia Tech
1211,Gonzaga
1213,Grand Canyon
1214,Hampton
1216,Hartford
1217,Harvard
1218,Hawaii
1219,High Point
1220,Hofstra
1221,Holy Cross
1222,Houston
1224,Howard
1225,Idaho
1226,Idaho St.
1228,Illinois
1229,Illinois St.
1230,Incarnate Word
1231,Indiana
1232,Indiana St.
1233,Iona
1234,Iowa
1235,Iowa St.
1238,Jackson St.
1239,Jacksonville
1240,Jacksonville St.
1241,James Madison
1242,Kansas
1243,Kansas St.
1246,Kentucky
1247,La Salle
1248,Lafayette
1249,Lamar
1250,Lehigh
1251,Liberty
1252,Lipscomb
1253,Long Beach St.
1255,Longwood
1256,Louisiana Tech
1257,Louisville
1259,Loyola MD
1261,LSU
1263,Maine
1264,Manhattan
1265,Marist
1266,Marquette
1267,Marshall
1268,Maryland
1269,Massachusetts
1270,McNeese St.
1272,Memphis
1273,Mercer
1274,Miami FL
1275,Miami OH
1276,Michigan
1277,Michigan St.
1278,Minnesota
1279,Mississippi
1280,Mississippi St.
1281,Missouri
1283,Missouri St.
1285,Montana
1286,Montana St.
1287,Morehead St.
1288,Morgan St.
1293,Murray St.
1298,Navy
1301,N.C. State
1304,Nebraska
1305,Nevada
1306,New Hampshire
1307,New Mexico
1308,New Mexico St.
1309,New Orleans
1310,Niagara
1311,Nicholls St.
1312,NJIT
1313,Norfolk St.
1314,North Carolina
1315,North Dakota
1316,North Florida
1317,North Texas
1318,Northeastern
1319,Northern Arizona
1320,Northern Iowa
1321,Northwestern
1323,Notre Dame
1324,Oakland
1325,Ohio
1326,Ohio St.
1328,Oklahoma
1329,Oklahoma St.
1330,Old Dominion
1331,Oral Roberts
1332,Oregon
1333,Oregon St.
1334,Pacific
1335,Penn
1336,Penn St.
1337,Pepperdine
1338,Pittsburgh
1339,Portland
1340,Portland St.
1342,Presbyterian
1343,Princeton
1344,Providence
1345,Purdue
1346,Quinnipiac
1347,Radford
1348,Rhode Island
1349,Rice
1350,Richmond
1351,Rider
1352,Robert Morris
1353,Rutgers
1357,Sacred Heart
1358,Sam Houston St.
1359,Samford
1360,San Diego
1361,San Diego St.
1362,San Francisco
1363,San Jose St.
1364,UC Santa Barbara
1365,Santa Clara
1370,Seattle
1371,Seton Hall
1373,Siena
1374,SMU
1375,South Alabama
1376,South Carolina
1377,South Dakota
1378,South Florida
1379,Southern Miss
1381,Southern Utah
1382,St. Bonaventure
1385,St. John's
1387,Saint Louis
1389,Saint Peter's
1390,Stanford
1391,Stetson
1392,Stony Brook
1393,Syracuse
1395,TCU
1396,Temple
1397,Tennessee
1398,Tennessee St.
1399,Tennessee Tech
1400,Texas
1401,Texas A&M
1402,Texas St.
1403,Texas Tech
1405,Toledo
1406,Towson
1407,Troy
1408,Tulane
1409,Tulsa
1412,UAB
1413,UC Davis
1414,UC Irvine
1415,UC Riverside
1416,UCF
1417,UCLA
1418,Louisiana
1420,UMBC
1421,UNC Asheville
1422,UNC Greensboro
1423,UNC Wilmington
1424,UNLV
1425,USC
1426,UT Arlington
1428,Utah
1429,Utah St.
1430,Utah Valley
1431,UTEP
1433,VCU
1434,Valparaiso
1435,Vanderbilt
1436,Vermont
1437,Villanova
1438,Virginia
1439,Virginia Tech
1440,VMI
1447,Wagner
1448,Wake Forest
1449,Washington
1450,Washington St.
1451,Weber St.
1452,West Virginia
1455,Wichita St.
1456,William & Mary
1457,Winthrop
1458,Wisconsin
1459,Wofford
1460,Wright St.
1461,Wyoming
1462,Xavier
1463,Yale
1464,Youngstown St.
1465,Cal Baptist
1466,North Alabama
1467,Merrimack
1468,Bellarmine
1469,Utah Tech
1470,Tarleton St.
1471,UC San Diego
1473,Lindenwood
1475,Southern Indiana
1476,Stonehill
1477,East Texas A&M
1478,Le Moyne
1479,Mercyhurst
1480,West Georgia
1101,Abilene Christian
1107,Albany
1110,American
1114,Little Rock
1115,Arkansas Pine Bluff
1126,Bethune Cookman
1131,Boston University
1141,Central Michigan
1146,Central Arkansas
1148,Central Connecticut
1149,Charleston Southern
1154,The Citadel
1157,Coastal Carolina
1158,Charleston
1167,Cal St. Bakersfield
1168,Cal St. Fullerton
1169,Cal St. Northridge
1170,Sacramento St.
1178,Detroit Mercy
1183,Eastern Illinois
1184,Eastern Kentucky
1185,Eastern Michigan
1186,Eastern Washington
1188,SIU Edwardsville
1192,Fairleigh Dickinson
1194,Florida Atlantic
1198,FIU
1203,George Washington
1204,Georgia Southern
1212,Grambling St.
1223,Houston Christian
1227,Illinois Chicago
1244,Kennesaw St.
1245,Kent St.
1254,LIU
1258,Loyola Marymount
1260,Loyola Chicago
1262,UMass Lowell
1271,Maryland Eastern Shore
1282,UMKC
1284,Monmouth
1290,Mississippi Valley St.
1291,Mount St. Mary's
1294,Northern Colorado
1295,North Dakota St.
1296,Northern Illinois
1297,Northern Kentucky
1299,North Carolina A&T
1300,North Carolina Central
1303,Nebraska Omaha
1322,Northwestern St.
1341,Prairie View A&M
1354,South Carolina St.
1355,South Dakota St.
1356,Southern Illinois
1367,USC Upstate
1368,Southeastern Louisiana
1369,Southeast Missouri St.
1372,Stephen F. Austin
1380,Southern
1384,Saint Francis
1386,Saint Joseph's
1388,Saint Mary's
1404,Tennessee Martin
1411,Texas Southern
1427,UTSA
1441,Western Carolina
1442,Western Illinois
1444,Western Michigan
1453,Green Bay
1454,Milwaukee
1472,St. Thomas
1474,Queens
1481,New Haven
1190,East Tennessee St.
1195,Florida Gulf Coast
1236,Purdue Fort Wayne
1237,IU Indy
1292,Middle Tennessee
1394,Texas A&M Corpus Chris
1410,UT Rio Grande Valley
1419,Louisiana Monroe
1443,Western Kentucky
1382,St. Francis NY
1366,Savannah St.